Title,member-company,phone-number,e-mail,address,member-home-type,member-design-style,member-preferred-budget,member-short-detail,member-accreditation,Date,"Post Type",Permalink,"Image URL","Image Title","Image Featured"
"JHAG VENTURE","JHAG VENTURE","'+65 8282 4433",george_chai77@yahoo.com,"280 WOODLANDS INDUSTRIAL PARK E5 #02-18 HARVEST @ WOODLANDS SINGAPORE 757322","HDB (BTO)",Asian,30001-50000,"<p>GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS)</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-09-25,member-list,https://renoresearch.sg/member-list/jhag-venture/,https://renoresearch.sg/wp-content/uploads/2024/09/JHAG.png,JHAG,https://renoresearch.sg/wp-content/uploads/2024/09/JHAG.png
"V Creative ID","V CREATIVE ID","'+65 9336 9223",enquiries@vcreativeid.com,"11 Woodlands Close #05-18 S(737853) Singapore 737853","HDB (BTO)",Asian,30001-50000,"<p>V Creative ID provides you with all your one-stop Home renovation services. Get an accurate visualization of your renovated home before renovation works with us now!</p>
<p>What we provide:</p>
<ul>
<li>Excellent Workmanship (14 Years of Design Expertise and Experience)</li>
<li>100% Direct Factory Pricing (Own Carpentry Factory | No Middle Man Cost)</li>
<li>Timely delivery of Remodeling Works (We Manage The Carpentry Factory Workers)</li>
<li>Long-Term Dedicated Designers</li>
<li>Free Consultation with no obligation required</li>
</ul>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-09-25,member-list,https://renoresearch.sg/member-list/v-creative-id/,https://renoresearch.sg/wp-content/uploads/2024/09/V-Creative-ID-Logo.jpg,"V Creative ID Logo",https://renoresearch.sg/wp-content/uploads/2024/09/V-Creative-ID-Logo.jpg
"Livinn Interior","LIVINN INTERIOR PTE. LTD.","'+65 8575 6688",leads@livinn.com.sg,"56A Joo Chiat Place, Singapore 427780","HDB (BTO)",Asian,30001-50000,"<p>Livinn Interior, based in Singapore, is renowned for its exceptional interior design services. We have a talented team of designers who has a unique ability to transform spaces, infusing them with a blend of freshness and modern aesthetics. We are dedicated to creating functional and stylish interiors that not only meet but exceed client expectations.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-09-25,member-list,https://renoresearch.sg/member-list/livinn-interior/,https://renoresearch.sg/wp-content/uploads/2024/09/Livinn-Interior-Logo.jpg,"Livinn Interior Logo",https://renoresearch.sg/wp-content/uploads/2024/09/Livinn-Interior-Logo.jpg
"Owl Home Story","OWL HOME STORY","'+65 8168 7074",alez@owlhomestory.sg,"10 Admiralty St, #04-68 Northlink Building, Singapore 757695","HDB (BTO)",Asian,30001-50000,"<p>Owl Home Story is always here to assist Home Owners in getting their Dream Nest Build and trying to match the budget as close as We could.</p>
<p>Need any assistance for your Existing / Upcoming Home renovation with Design?</p>
<p>Feel free to engage us for a Non-Obligation quotation, PM us now!!!</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-09-26,member-list,https://renoresearch.sg/member-list/owl-home-story/,https://renoresearch.sg/wp-content/uploads/2024/09/Owl-Home-Story.png,"Owl Home Story",https://renoresearch.sg/wp-content/uploads/2024/09/Owl-Home-Story.png
"Cozy Ideas","Cozy Ideas Interior Design Pte Ltd","'+65 9025 2521",peter@cozyideas.com.sg,"8 Ubi Rd 2 #03-09 Zervex Singapore 408538","HDB (BTO)",Asian,30001-50000,"<p>That's the method that we get most of our new clients; through the referrals and recommendations of our happy customers. With over 9 years of experience in the ID industry, we pride ourselves on always delivering interior design that's thoughtful, functional and worry-free!</p>
<p>When you choose Cozy Ideas, you'll receive the best home renovation experience. With our extensive knowledge and many years of experience, you know your home transformation is in the right hands. We have the right contacts to not only ensure tip-top workmanship but to also give you the best prices</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-09-26,member-list,https://renoresearch.sg/member-list/cozy-ideas/,https://renoresearch.sg/wp-content/uploads/2024/09/JHAG-1.png|https://renoresearch.sg/wp-content/uploads/2024/09/Cozy-Ideas-Logo.png,"JHAG|Cozy Ideas Logo",https://renoresearch.sg/wp-content/uploads/2024/09/JHAG-1.png
"Pinkk Solutions","Pinkk Solutions Pte Ltd","'+65 8322 7684",hangkito2024@gmail.com,"69 Ubi road 1 #10-33 Oxley Bizhub Singapore 408731","HDB (BTO)",Asian,30001-50000,"<p>A multifaceted journey that involves professional engagement with stakeholders of project and transporting ideas and individual concepts into realised dreams.</p>
<p>We bring our experience and expertism into professional advice to show case our clienteles the latest commodity that suits their budget.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-10-21,member-list,https://renoresearch.sg/member-list/pinkk-solutions/,https://renoresearch.sg/wp-content/uploads/2024/10/PINKK-Solutions-Logo.jpg,"PINKK Solutions Logo",https://renoresearch.sg/wp-content/uploads/2024/10/PINKK-Solutions-Logo.jpg
"AP Concept ID","AP Concept Pte. Ltd.","'+65 8782 8330",aaron@apconcept.com.sg,"10 Jalan Kilang Bukit Merah Enterprise Centre #04-04, Singapore 159410","HDB (BTO)",Asian,30001-50000,"<div class=""et_pb_module et_pb_text et_pb_text_3  et_pb_text_align_left et_pb_bg_layout_dark"">
<div class=""et_pb_text_inner"">
<h3>Design that works well – it’s what we’ve built our company on and everything that our brand stands for.</h3>
</div>
</div>
<div class=""et_pb_module et_pb_text et_pb_text_4  et_pb_text_align_left et_pb_bg_layout_dark"">
<div class=""et_pb_text_inner"">
<p>Our team has helped our clients build their homes for close to a decade.</p>
<p>We’ll always go the extra mile for our clients to ensure they live in comfort and enjoy our design work for time to come.</p>
<p>Elevating spaces with personalized, innovative design. Our expert team transforms your vision into reality with quality craftsmanship and attention to detail. Discover bespoke interiors here.</p>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-10-21,member-list,https://renoresearch.sg/member-list/ap-concept-id/,https://renoresearch.sg/wp-content/uploads/2024/10/AP-Concept-ID-Logo.png,"AP Concept ID Logo",https://renoresearch.sg/wp-content/uploads/2024/10/AP-Concept-ID-Logo.png
"Handyz Conceptz Renovation","Handyz Conceptz Renovation Pte Ltd","'+65 8913 9341",vincent@handyzconceptz.com,"39 Woodlands Close #02-46, Singapore 737856","HDB (BTO)",Asian,30001-50000,"<div id=""comp-lrz0yt7e"" class=""HcOXKn c9GqVL QxJLC3 lq2cno comp-lrz0yt7e wixui-rich-text"" data-testid=""richTextElement"">
<p class=""font_9 wixui-rich-text__text""><span class=""wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">Our in-house team tackles everything from hacking and flooring to electrical work, plumbing, painting, and even design consultations. This ensures seamless communication, minimizes delays, and allows us to deliver exceptional workmanship at competitive prices.</span></span></p>
</div>
<div id=""comp-lu2x5c6f"" class=""HcOXKn c9GqVL QxJLC3 lq2cno comp-lu2x5c6f wixui-rich-text"" data-testid=""richTextElement"">
<p class=""font_9 wixui-rich-text__text""><span class=""wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">Transform your dream space into reality with </span></span><span class=""wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">Handyz Conceptz Renovation.</span></span></p>
</div>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-10-21,member-list,https://renoresearch.sg/member-list/handyz-conceptz-renovation/,https://renoresearch.sg/wp-content/uploads/2024/10/Handyz-Conceptz-Logo.jpg,"Handyz Conceptz Logo",https://renoresearch.sg/wp-content/uploads/2024/10/Handyz-Conceptz-Logo.jpg
Saege,"Saege Pte Ltd","'+65 9769 2424",hello@saege.sg,"8 Jln Kilang Barat, #01-05 Central Link Singapore, 159351","HDB (BTO)",Asian,30001-50000,"<p>Saege aspires to redefine the experience of conventional interior design practices. Here at Saege, we craft living spaces that resonates with distinct individual lifestyles.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-11-13,member-list,https://renoresearch.sg/member-list/saege/,https://renoresearch.sg/wp-content/uploads/2024/11/Saege-Logo.jpg,"Saege Logo",https://renoresearch.sg/wp-content/uploads/2024/11/Saege-Logo.jpg
Lpine,Lpine,"'+65 8606 0351",admin@l-pine.com,"62 Temple Street, #03-01 Singapore, 058607","HDB (BTO)",Asian,30001-50000,"<p>Interior Architecture company based in Singapore with close to 30 years of professional experience.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-11-13,member-list,https://renoresearch.sg/member-list/lpine/,https://renoresearch.sg/wp-content/uploads/2024/11/Lpine-Logo.jpg,"Lpine Logo",https://renoresearch.sg/wp-content/uploads/2024/11/Lpine-Logo.jpg
"BHL Integrated","Bright House","'+65 8481 8838",customerservice@brighthouse.com.sg,"406 Tampines Street 41 Singapore, 520406","HDB (BTO)",Asian,30001-50000,"<p>With over 23 years of experience, Bright House has been dedicated to serving thousands of homes across Singapore. We began with a simple vision: to brighten up people’s homes. From this humble beginning, our company has expanded its services from merely installing lights to offering a comprehensive range of home improvement solutions. Today, Bright House is a one-stop renovation solution for all homeowners. We provide an extensive range of home products and services, including ceiling fans, water heaters, lightings and aircons.</p>
<p>At Bright House, we are committed to extending our services to even more homes islandwide and continuously improving our systems to better serve you. Whether you are looking to install new fixtures or require maintenance services, we are here to help brighten up your home.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-11-13,member-list,https://renoresearch.sg/member-list/bhl-integrated/,https://renoresearch.sg/wp-content/uploads/2024/11/Bright-House-Logo.jpg,"Bright House Logo",https://renoresearch.sg/wp-content/uploads/2024/11/Bright-House-Logo.jpg
"Interior Renovation Concept","Interior Renovation Concept Pte Ltd","'+65 9725 5015",robingoh@myyahoo.com,"Blk 89 Bedok North Ave 4 #01-113 Singapore 460089","HDB (BTO)",Asian,30001-50000,"<p>With 20 years of experience, we specialize in transforming spaces through expert interior design and contracting services. From concept to completion, we handle all your interior needs with precision and creativity. Let us bring your vision to life!</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-11-13,member-list,https://renoresearch.sg/member-list/interior-renovation-concept/,https://renoresearch.sg/wp-content/uploads/2024/11/Interior-Renovation-Concept-Pte-Ltd-Logo.jpg,"Interior Renovation Concept Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/11/Interior-Renovation-Concept-Pte-Ltd-Logo.jpg
"Luxe Living Interior Design","Luxe Living Interior Design","'+65 9655 4669",tim.gohzy@gmail.com,"65 Ubi Road 1 #01-90 Oxley Bizhub Singapore 408729","HDB (BTO)",Asian,30001-50000,"<p>Crafted for Luxe, Perfect for Living</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-11-13,member-list,https://renoresearch.sg/member-list/luxe-living-interior-design/,https://renoresearch.sg/wp-content/uploads/2024/11/Luxe-Living-Interior-Design-Logo.jpg,"Luxe Living Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2024/11/Luxe-Living-Interior-Design-Logo.jpg
"Design Story","Design Story Pte Ltd","'+65 8688 0100",frank@designstory.com.sg,"27 Woodlands Industrial Park E1, #04-12 Singapore, 757718","HDB (BTO)",Asian,30001-50000,"<p>We are committed to crafting the best interior design personalised to meet your requirements.</p>
<p>Our passion lies in transforming spaces into functional and stylish place you can retreat to. We don’t want to simply design for you, we want to keep you involved throughout the process of creating a home unique and special to you and your loved ones.</p>
<p>Design Story takes on a friendly approach towards all of our homeowners’ project. Our team of interior designers deliver exceptional customer service to ensure that the nature and complexities of your interior design project is fully and clearly communicated across various stakeholders. Rest assured that your home will be in good hands throughout the entire process.</p>
<p>Also, our stable clientele comprising predominantly of loyal retainer and their referrals is a strong testament of our diligence and sense of responsibility for your renovation journey with us!</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-11-13,member-list,https://renoresearch.sg/member-list/design-story/,https://renoresearch.sg/wp-content/uploads/2024/11/Design-Story-Pte-Ltd-Logo.jpg,"Design Story Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/11/Design-Story-Pte-Ltd-Logo.jpg
"Allure Design Studio","Allure Design Studio Pte Ltd","'+65 9869 5146",spencer@alluredesignstudio.com,"Blk 1014 Geylang East Ave 3 Singapore, 389729","HDB (BTO)",Asian,30001-50000,"<p>Allure Design Studio is an interior design firm dedicated to creating beautiful, functional, and inspiring spaces for our clients. Our team of experienced and skilled interior designers is committed to bringing your vision to life while providing exceptional customer service every step of the way.</p>
<p>At Allure Design Studio, we understand that every project is unique, and we take a personalized approach to design that ensures each project reflects the client's personality, style, and lifestyle. Whether you're looking to create a modern and sleek space or a traditional and elegant design, we work closely with you to bring your ideas to life.</p>
<p>Our interior design services include space planning, color consultation, furniture selection, lighting design, and more. We work with a lot of vendors to source out materials and finishes to create a space that is not only beautiful but also functional and durable.</p>
<p>At Allure Design Studio, we believe that good design is about more than just aesthetics; it's about creating a space that enhances your quality of life. We prioritize functionality, comfort, and livability in every project we undertake, ensuring that your new space is not only beautiful but also practical and enjoyable to use.</p>
<p>Our team of interior designers is dedicated to providing exceptional customer service, from the initial consultation to the final installation. We take the time to listen to your needs and desires, and we work tirelessly to create a design that exceeds your expectations.</p>
<p>In summary, Allure Design Studio is an interior design firm that is committed to creating beautiful, functional, and inspiring spaces that reflect our clients' unique personalities and lifestyles. We take a personalized approach to design, prioritizing functionality, comfort, and livability while providing exceptional customer service every step of the way.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-11-13,member-list,https://renoresearch.sg/member-list/allure-design-studio/,https://renoresearch.sg/wp-content/uploads/2024/11/Allure-Design-Studio-Pte-Ltd-Logo.jpg,"Allure Design Studio Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/11/Allure-Design-Studio-Pte-Ltd-Logo.jpg
"Concrete Concepts ","Concrete Concepts ","'+65 8877 7800",admin@concreteconcepts.co,"1 Tampines North Dr. 1  #08-33, Singapore 528559","HDB (BTO)",Asian,30001-50000,"<p>At Concrete Concepts, we are passionate about transforming spaces into captivating environments. Our team is dedicated to creating designs that reflect individuality and style. We believe in the power of design to elevate experiences and enrich lives.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-18,member-list,https://renoresearch.sg/member-list/concrete-concepts/,https://renoresearch.sg/wp-content/uploads/2024/12/Concrete-Concepts-Logo.jpg,"Concrete Concepts Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Concrete-Concepts-Logo.jpg
"AX Image","AX Image Interior Design","'+65 8383 7277",enquiry@aximage.com.sg,"425 Changi Road, Singapore 419868","HDB (BTO)",Asian,30001-50000,"<p>We are a team of dedicated and passionate interior design &amp; renovation specialists, bringing over two decades of excellence in creating inspiring interiors. RCMA Acrredited</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-18,member-list,https://renoresearch.sg/member-list/ax-image/,https://renoresearch.sg/wp-content/uploads/2024/12/AX-Image-Logo.jpg,"AX Image Logo",https://renoresearch.sg/wp-content/uploads/2024/12/AX-Image-Logo.jpg
LuxCraft,"LuxCraft Pte. Ltd.","'+65 8312 6212",contact@luxcraft.sg,"190 Woodlands Industrial Park E5 Woodlands Bizhub, #04-05 Singapore 757516","HDB (BTO)",Asian,30001-50000,"<p>Welcome to LuxCraft, your go-to interior designer in Singapore. We specialize in a wide range of services including hacking, carpentry, painting, glass and metal work, masonry, tiling, electrical work and plumbing.</p>
<p>We offer complimentary 3D renderings of your design concept before starting any project, ensuring your vision is perfectly realized.</p>
<p>At LuxCraft, we bring your renovation dreams to life with precision and excellence.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-18,member-list,https://renoresearch.sg/member-list/luxcraft/,https://renoresearch.sg/wp-content/uploads/2024/12/LuxCraft-Logo.jpg,"LuxCraft Logo",https://renoresearch.sg/wp-content/uploads/2024/12/LuxCraft-Logo.jpg
"Meng Design &amp; Build","Meng Design &amp; Build","'+65 8890 3858",marketing@mengdesign.co,"Blk 18 Marsiling Industrial Estate Road #01-08, Singapore 739173","HDB (BTO)",Asian,30001-50000,"<p>Established in 1980, Meng Design and Build is a leading interior design firm in Singapore, with over 50,000 successful residential and commercial projects to our name. We are passionate about enhancing living spaces with thoughtful and distinctive designs. From the initial consultation through to project completion, our team is dedicated to delivering exceptional customer service, skilled craftsmanship and efficient results to achieve the finest outcomes.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:4:""true"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/meng-design-build/,https://renoresearch.sg/wp-content/uploads/2024/12/Meng-Design-Build-Logo.jpg,"Meng Design & Build Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Meng-Design-Build-Logo.jpg
"Boonsiew D’sign (BSD’sign)","BSD’sign Pte Ltd","'+65 9066 3882",enquiry@bsd-sign.sg,"11 Woodlands Close #04-40 Singapore 737853","HDB (BTO)",Asian,30001-50000,"<p>Originally established as Boon Siew Design &amp; Build in 1988, Boonsiew D’sign (BSD’sign) was re-branded in 2008. Being one of the pioneers in the interior design industry in Singapore, we are well-known for our credibility, adaptability in our designs for both residential and commercial projects over the years. At BSD’sign, our philosophy is simple – there is no specific “style” or “look” attributed to the firm, but rather, we pride ourselves in understanding each client’s requirements and interpreting a distinctive design.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/boonsiew-dsign-bsdsign/,https://renoresearch.sg/wp-content/uploads/2024/12/Bsdesign-Logo.jpg,"Bsdesign Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Bsdesign-Logo.jpg
"Crown Interior Design","Crown Interior Design Pte Ltd","'+65 9850 2766",sales@crowninteriordesignsg.com,"16 Arumugam Rd, #06-02 LTC Building D, Singapore 409961","HDB (BTO)",Asian,30001-50000,"<p>Crown Interior Design<br class=""html-br"" />Specialize in creating personalized and innovative design solutions for residential and commercial spaces.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/crown-interior-design/,https://renoresearch.sg/wp-content/uploads/2024/12/Crown-Interior-Design-Logo.jpg,"Crown Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Crown-Interior-Design-Logo.jpg
"Ritchie Creative Design","Ritchie Creative Design","'+65 8228 5135",ritchie.creative@gmail.com,"No. 144 Upper Bukit Timah Road, #03-03, Beauty World Centre, Singapore 588177","HDB (BTO)",Asian,30001-50000,"<p>At Ritchie Creative Design, we prioritize honesty &amp; transparency and strive to deliver the best results for you in terms of budget, practicality, creativity and engagement.</p>
<p>Our approach begins with a thorough study of your project and a deep understanding of your needs. Our team is dedicated to exploring the full potential and insights of your brief and may even provide additional suggestions and directions to enhance the final outcome.</p>
<p>Furthermore, we pride ourselves on being at the forefront of innovation and using cutting-edge techniques to bring your project to life. Our goal is to create an unforgettable sensory experience from the first encounter to the final touch.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/ritchie-creative-design/,https://renoresearch.sg/wp-content/uploads/2024/12/Ritchie-Creative-Design-Logo.jpeg,"Ritchie Creative Design Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Ritchie-Creative-Design-Logo.jpeg
"A.Simplify Design","A.Simplify Design Pte Ltd (202236402H)","'+65 9386 2000",enquiry@asimplifydesign.com,"101 Woodlands Avenue 12, #06-15 &amp; #06-16, Singapore 737719","HDB (BTO)",Asian,30001-50000,"<p>A.Simplify Design Pte Ltd our company philosophy in this interior (renovation) trade of business are to ensure that all works are conducted well accordingly to plan. Both of us engage in renovation line for 25 years since we met each other at (Darwin in 1999).With years of interior design, it time we set up our own company. May it be design base or our clients with budget, we strive to do our best so there will be recommendation for our new future clients.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/a-simplify-design/,https://renoresearch.sg/wp-content/uploads/2024/12/A.SimplifyDesign-Pte-Ltd-Logo.png,"A.SimplifyDesign Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/12/A.SimplifyDesign-Pte-Ltd-Logo.png
"Ninety One Interior Design","Ninety One Interior Design Pte Ltd","'+65 9066 7751",contact@ninetyoneinterior.com,"599 Geylang Rd, Singapore 389538","HDB (BTO)",Asian,30001-50000,"<p>At Ninety One Interior Design, we focus on listening to our clients, analyzing their needs, goals and design preferences by conducting feasibility studies and performing site evaluation for them.</p>
<p>Regardless of size, we demand quality and emphasize on dedication for all our projects, no customer’s requirements are too challenging for us to fulfil because we at Ninety One Interior Design, are committed in ensuring client’s satisfaction.</p>
<p>Using high end technology and state of the art software, our team of designers are able to develop and finalize design drawings, perspective drawings and space planning layouts in the most efficient way for our clients.</p>
<p>Our commitment and service to you does not end after handover, we hope to create a long-lasting friendship with all our clients by offering comprehensive after-sales service to further ensure your future needs are met.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/ninety-one-interior-design/,https://renoresearch.sg/wp-content/uploads/2024/12/Ninety-One-ID.png|https://renoresearch.sg/wp-content/uploads/2024/12/Ninety-One-Interior-Design-Pte-Ltd-Logo.png,"Ninety One ID|Ninety One Interior Design Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Ninety-One-ID.png
"Dr Reno Interior","Dr Reno Interior","'+65 9479 3570",enquiries@drrenointerior.sg,"20 Ang Mo Kio Ind Park 2, 2A, #07-11 Ang Mo Kio TechLink, Singapore 567761","HDB (BTO)",Asian,30001-50000,"<div class=""elementor-element elementor-element-d1c5d7b elementor-widget elementor-widget-text-editor"" data-id=""d1c5d7b"" data-element_type=""widget"" data-widget_type=""text-editor.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-text-editor elementor-clearfix"">
<p>We provide you a high level of assurance, peace of mind throughout your project from initial consultation, project delivery and project aftercare. We dedicate our design based on your needs and preferences. Yet, adding a touch of creative and unique ideas to your beautiful home. This combination results your home to be filled with love and identity.</p>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-748c60d elementor-widget elementor-widget-text-editor"" data-id=""748c60d"" data-element_type=""widget"" data-widget_type=""text-editor.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-text-editor elementor-clearfix"">
<p>We follow 6 principles below to operate this company:</p>
</div>
</div>
</div>
<div class=""elementor-element elementor-element-827109b elementor-drop-cap-yes elementor-drop-cap-view-default elementor-widget elementor-widget-text-editor"" data-id=""827109b"" data-element_type=""widget"" data-settings=""{&quot;drop_cap&quot;:&quot;yes&quot;}"" data-widget_type=""text-editor.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-text-editor elementor-clearfix"">
<ul>
<li>Direct: Transparency with no hidden cost.</li>
<li><span class=""elementor-drop-cap-letter"">R</span>esponsible: Prioritizing all client project to its finest.</li>
<li><span class=""elementor-drop-cap-letter"">R</span>eliable: Use only authentic &amp; high quality materials.</li>
<li><span class=""elementor-drop-cap-letter"">E</span>fficient: Aims to soar beyond client expectations.</li>
<li><span class=""elementor-drop-cap-letter"">N</span>urture: We nurture relationship with ours customers.</li>
<li>Originality: Create your dream home uniquely.</li>
</ul>
</div>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/dr-reno-interior/,https://renoresearch.sg/wp-content/uploads/2024/12/Dr-Reno-Interior-Logo.png,"Dr Reno Interior Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Dr-Reno-Interior-Logo.png
